cantidad	date
393	19980101
277	19980201
383	19980301
297	19980401
326	19980501
475	19980601
449	19980701
344	19980801
325	19980901
506	19981001
461	19981101
474	19981201
363	19990101
451	19990201
355	19990301
346	19990401
385	19990501
397	19990601
325	19990701
410	19990801
387	19990901
544	19991001
372	19991101
803	19991201
404	20000101
311	20000201
371	20000301
350	20000401
266	20000501
422	20000601
395	20000701
417	20000801
364	20000901
376	20001001
427	20001101
424	20001201
446	20010101
326	20010201
397	20010301
320	20010401
471	20010501
378	20010601
381	20010701
406	20010801
394	20010901
482	20011001
541	20011101
507	20011201
681	20020101
507	20020201
526	20020301
409	20020401
475	20020501
605	20020601
617	20020701
635	20020801
478	20020901
679	20021001
547	20021101
629	20021201
586	20030101
642	20030201
654	20030301
575	20030401
747	20030501
585	20030601
565	20030701
629	20030801
509	20030901
679	20031001
441	20031101
534	20031201
584	20040101
421	20040201
618	20040301
554	20040401
526	20040501
531	20040601
544	20040701
491	20040801
525	20040901
778	20041001
605	20041101
754	20041201
675	20050101
547	20050201
401	20050301
716	20050401
692	20050501
659	20050601
682	20050701
603	20050801
688	20050901
575	20051001
731	20051101
689	20051201
807	20060101
703	20060201
711	20060301
679	20060401
708	20060501
538	20060601
737	20060701
960	20060801
1016	20060901
936	20061001
886	20061101
723	20061201
821	20070101
896	20070201
783	20070301
808	20070401
926	20070501
1024	20070601
993	20070701
658	20070801
619	20070901
1120	20071001
663	20071101
1312	20071201
805	20080101
690	20080201
1093	20080301
1060	20080401
765	20080501
934	20080601
851	20080701
590	20080801
974	20080901
1106	20081001
1454	20081101
1004	20081201
1191	20090101
648	20090201
612	20090301
1045	20090401
944	20090501
972	20090601
1083	20090701
765	20090801
804	20090901
1479	20091001
1504	20091101
1421	20091201
1353	20100101
766	20100201
799	20100301
878	20100401
926	20100501
1002	20100601
1044	20100701
847	20100801
1249	20100901
949	20101001
1211	20101101
1269	20101201
918	20110101
1124	20110201
1305	20110301
807	20110401
1010	20110501
1103	20110601
868	20110701
1069	20110801
1346	20110901
1591	20111001
1394	20111101
1552	20111201
1370	20120101
666	20120201
1150	20120301
754	20120401
1298	20120501
962	20120601
1148	20120701
1493	20120801
1155	20120901
1475	20121001
1274	20121101
1232	20121201
1235	20130101
1297	20130201
901	20130301
750	20130401
974	20130501
1069	20130601
1170	20130701
1149	20130801
1575	20130901
1301	20131001
1497	20131101
1050	20131201
1271	20140101
911	20140201
699	20140301
1302	20140401
1180	20140501
1129	20140601
1107	20140701
1382	20140801
1367	20140901
1846	20141001
1464	20141101
1640	20141201
1800	20150101
1490	20150201
1238	20150301
1303	20150401
1492	20150501
1610	20150601
1525	20150701
2190	20150801
1533	20150901
1181	20151001
1992	20151101
2705	20151201
1302	20160101
1138	20160201
1223	20160301
1202	20160401
1478	20160501
954	20160601
1144	20160701
1295	20160801
1253	20160901
1220	20161001
1253	20161101
1679	20161201
1218	20170101
950	20170201
1000	20170301
788	20170401
994	20170501
1424	20170601
1074	20170701
